Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
Spalter Select,Germany,Aroma,Pellet,4.75,3.5,28,Boil,"Bred from Hallertauer Mittelfrueh and Spalt in Germany. Solid replacement for Sazzer-type hops. Used for: Lager, Pilsner Aroma: Spicy, floral, and woody. Substitutes: Spalt Spalter, Saaz, Tettnanger Storage: Good/Fair 3-6.5% AA / 2.5-5% Beta"
Sterling,U.S.,Both,Pellet,7.5,5,30,Boil,"Flavor is a cross between Saaz and Mt Hood Used for: Lagers, Ales, Pilsners Aroma: Herbal, spicy, some floral and citrus hints Substitutes: Saaz, Polish Lublin"
Sticklebract,New Zealand,Both,Pellet,13.5,8,17,Boil,High alpha hops from DSIR research first released in 1972. Some of the same qualities as Northern Brewer Used for: Dual purpose Aroma: Pine-like with a hint of citrus Substitutes: Northern Brewer
Strisslespalt,France,Aroma,Pellet,4,3.8,35,Boil,"Aroma hops used widely in the Alsace area of France. Used for: Pilsner, lager, wheat Aroma: Medium intensity, pleasant, hoppy Substitutes: Mt Hood, Crystal, Hallertauer Hersbruck"
Styrian Aurora (Super Styrian),Austria,Aroma,Pellet,7.5,3.3,15,Boil,"Typical alpha: 7.0-9.0%. Moderate-alpha with powerful hoppy aroma, very versatile - try in US, Belgian, or English ales. Uses: All Ales, some lagers Aroma: Spicy, yet pleasant hoppiness Substitutes: Styrian Golding, Styrian Bobek Storage: Excellent 6.5-9.5% AA / 2.7-5.5% Beta"
Styrian Bobek,Austria,Bittering,Pellet,5,2,15,Boil,"Derived from a Northern Brewer and Yugoslavian male TG. Low to moderate alpha and earthy, slightly fruity aroma. Uses: English Style Ales, ESB, Lager, Pilsner & Belgian-style Ales Aroma: Intense and pleasant hoppy aroma Substitutions: Styrian Golding, UK or US Fuggle, Willamette Storage: Good 3.5-7% AA / 4-6.1% Beta"
Styrian Cardinal,Slovenia,Both,Pellet,9.1,3.3,30,Boil,"Cardinal was developed and released by the Slovenian Institute of Hop Research and Brewing. Cardinal was bred from European and American germplasm. Sometimes referred to as just Cardinal. Flavor/Aroma: Anise, Apple, Citrus, Gooseberry, Fruity, Pineapple, Tropical Fruits, Strawberry"
Styrian Celeja,Austria,Aroma,Pellet,4.5,2,15,Boil,"Hybrid cross between Styrian Golding, Styrian Aurora, and Slovenian wild hops. Aroma is orange marmalade like Styrian Golding, but with a noble component. Used for: UK and Belgian ales or lagers. Aroma: Floral, fruit Substitutions: Unknown (Styrian Golding?) Storage: Unknown 3-6% AA / ??% Beta"
Styrian Dragon,Slovenia,Aroma,Pellet,7.4,2.9,30,Boil,"Styrian Dragon is a type of hop known for its intense aroma and high alpha acid content, making it a popular choice for brewing hop-forward beers. This hop variety was bred at the Slovenian Institute of Hop Research and Brewing in Žalec from European and American germplasm. Styrian Dragon hops are known for their unique blend of spicy, herbal, and fruity flavors, which make them a versatile choice for brewing a wide range of beer styles. They have a high alpha acid content, which means they contribute bitterness to the beer, making them ideal for use in IPAs and other hop-forward styles. They also have a high oil content, which contributes to their intense aroma and flavor profile. Styrian Dragon hops are typically used in the late additions of the brewing process, either as a single-hop variety or as part of a blend with other hop varieties. Flavor/Aroma: Citrus, Grapefuit, Lime, Orange"
Styrian Golding (Savinja Golding),Slovenia,Aroma,Pellet,5.25,2.9,20,Boil,"A seedless version of Fuggle grown in Slovenia. Popular in Europe and the United Kingdom. Used for: All Ales and Lagers Aroma: Delicate, slightly spicy, soft, and floral aroma. Similar to Fuggle. Substitutes: Fuggle, Williamette, EKG Storage: Very Good 4.5-6% AA / 2-3.5% Beta"
Styrian Goldings,Slovenia,Aroma,Pellet,5.4,2.9,30,Boil,"A seedless version of Fuggles grown in Slovenia Used for: Bittering, finishing for a wide variety of European Beers. Popular in Europe and the United Kingdom Aroma: Mild, soft, grassy, floral aroma. Similar to Fuggles. Substitutes: Fuggles, Williamette"
Styrian Kolibri,Slovenia,Aroma,Pellet,4.8,3.8,30,Boil,"Developed and released by the Slovenian Institute of Hop Research and Brewing, from European and American germplasm. When Styrian Kolibri was used by craft brewers, they have noticed very attractive floral notes in a range of beer varieties."
Sultana,U.S.,Both,Pellet,13.5,4.5,30,Boil,"From the Hopsteiner Breeding Program. An aroma hop known for its big cone size, big oils, and big aromas suitable for a variety of different beer styles. Aroma: Citrus - pineapple, stone fruit, berries, citrus, pine Alpha Acid: 12.0 - 15.0% Beta Acid: 4.0 - 5.0% Total Oil: 2.5 - 4.0 ml/100g"
Summer (Summer Saaz),Australia,Aroma,Pellet,5.5,5.4,15,Boil,"Apricot and melon characters are more apparent when dry hopping. Used for: Ales Aroma: Subtle, light apricot and melon flavors Substitiutions: Unknown Storage: Unknown 4-7.5% AA / 4.8-6.7% Beta"
Summit,U.S.,Bittering,Pellet,17,5,15,Boil,"High alpha variety bred by American Dwarf Hop Assoc. Can be grown commercially on a low trellis. Aroma: Strong citrus, grapefruit notes. Substitutes: Warrior, Millenium, Columbus, Tomahawk, Zeus"
Summit Hop Extract,US,Both,CO2Extract,50.29,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Extracted from Summit hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
Sun,U.S.,Bittering,Pellet,14,5.5,25,Boil,"A very high alpha bittering hops from Yakima Valley, Washington Used for: Bittering (intense) Aroma: Pleasant, hoppy Substitutes: Other very high alpha US hops"
Sunbeam,U.S.,Aroma,Pellet,4.5,2.5,30,Boil,"Not originally envisioned for use in brewing, Sunbeam is an ornamental hop that was discovered to be inadvertently useful as an aroma hop. Selected in 1992 in Corvallis, Oregon, it features characteristics similar to that of its parent variety, Saaz."
Sunshine,United Kingdom,Aroma,Pellet,7.6,2.6,45,Boil,"Mother to Comet, Sunshine was developed via open pollination seedling selection at Wye College in England. It was selected by Professor E. R. Salmon in the early 1930’s and exhibits a very similar oil profile to Comet. While it is considered a brewing hop first and foremost, its lovely, lemon yellow colored leaves also give this variety ornamental potential. Like Sunbeam hops, it should to be grown in a shaded position or it risks sustaining necrotic burn when exposed to prolonged late summer sun. Its exact parentage is unknown."
Super Alpha,New Zealand,Bittering,Pellet,13,8,15,Boil,"High alpha hops released in 1976 by DSIR. European in character - clean crisp flavor and resin aroma. Used for: European Styles, General purpose bittering Aroma: Pleasant, resin like aroma Substitutes: N/A"
Super Galena,U.S.,Bittering,Pellet,14.5,9,20,Boil,Super high alpha hops from Hopsteiner breeding program released in 2006. High alpha and beta content - comparable to Galena in bitterness and aroma profile. Used for: Primarily for bitterness. Substitutes: Galena
Super Pride,Australia,Bittering,Pellet,14.25,6.7,45,Boil,"A high alpha variation of the Pride of Ringwood hop variety. Features mild aromas, higher alpha content and low cohumulone levels. Used for: Primarily for bittering. Substitutes: Pride of Ringwood"
Superdelic,New Zealand,Aroma,Pellet,10.5,4,30,Boil,"Superdelic™ is a triploid variety (cultivar) that was crossed by Dr. Ron Beatson in 2012 through our partnership breeding program with Plant and Food Research (PFR). Superdelic was developed from both European and North American ancestry. After showing promise in clonal selection trials, and showing sensory attributes of berry fruit in pilot brewing trials, Superdelic was fast-tracked into the NZ Hops trial hop farm program in 2017, due to its unique aroma and chemistry profile. Aroma Profile: Berry, Citrus, Sweet Aromatic, Tropical"
Sussex,United Kingdom,Aroma,Pellet,5,2.7,15,Boil,"Aroma similar to Fuggle. Good, yet delicate, flavor retention. Pedigree is ""a chance find"". Used for: Ale Sustitution: N/A Storage: Unknown"
Sybilla,Poland,Both,Pellet,7,5.5,15,Boil,"A varity from Poland which is primarily for bittering but has some good aromatic properties. A mix of Lublin and Slovenian Styrian Goldings. Good aroma hop with soft contintental character similar to a German Hallertauer, English Fuggles or Sterling."
Sylva,Australia,Aroma,Pellet,5.5,4,15,Boil,"Formerly Southern Saaz. Displays what's considered the traditional hoppy (with cedarwood notes) and spicy character of Saaz. Mostly an option for Southern Hemisphere brewers but an interesting variation on Saaz. Used for: Lagers Aroma: Complex and subtle, floral and herbal characteristics Substitutions: Hallertau Mittlefrüh, AU Helga Storage: Unknown 4-7.3% AA / 3-5% Beta"
TNT Blend,"U.S., Germany",Aroma,Pellet,12.3,2,30,Boil,"TNT Blend is a product of both US and German cultivation and not just a single hop, but a blend of several varietals. It is renowned for its unique aroma profile, which is often described as a fruity explosion on the palate. Specifically, the T'N'T blend is a harmonious combination of select German hop varieties, meticulously crafted to emphasize the flavors of red fruits, notably pomegranate, sweet fruits, and citrus. This results in a beer that boasts a robust tropical foundation. When used in brewing, the TNT Blend is typically incorporated during the late boil stages, including the dry hopping process. This hop blend is designed to impart a memorable and refreshing taste, making it a favorite among brewers aiming for a tropical hop character in their brews. Aroma/Flavor: Berries, Caramel, Citrus, Creamy, Fruity, Spicy, Sweet, Strawberry, Tropical Fruits"
Tahoma,U.S.,Aroma,Pellet,7.8,9,25,Boil,"Citrus and lemon notes with cedar, pine, floral, pepper and subtle green melon notes. Daughter of Glacier that retains the very low cohumulone characteristic of Glacier with somewhat higher alpha acid content."
Taiheke,New Zealand,Both,Pellet,7,5.2,35,Boil,"Formerly called 'Cascade, New Zealand'. Flowers, citrus & spice with grapefruit the noticeable fragrance quite often. This medium aroma balances the low bittering value. Very popular hop among craft brewers. Used for: Pale Ales, IPAs, Porters Substitutions: Centennial, Amarillo"
Talus,U.S.,Aroma,Pellet,8.5,9.25,30,Boil,"Talus ® delivers big aromas of pink grapefruit, citrus rinds, dried roses, pine resin, tropical fruits and sage. These unique and impactful aromas remain throughout the brewing process. With Talus, what you smell in the field is what you’ll get in your glass. Aroma Profile: Grapefruit, Herbal, Pine, Rose, Tropical"
Tango,Germany,Both,Pellet,12,8.5,30,Boil,"Tango hops, a modern marvel in the world of brewing, are a testament to the innovative spirit of hop breeders. Originating from the Hüll Hop Research Institute in the Hallertau region of Germany, Tango is a product of the union between the globally recognized Cascade and a male Hüll breeding line. This hop variety was developed as a response to the challenges posed by climate change and the increasing emphasis on environmental protection. As a result, Tango stands out as a climate-tolerant variety that offers excellent brewing quality, making it a sustainable alternative to traditional aroma varieties. The flavor profile of Tango hops is both diverse and captivating. At its core, it carries classically hoppy notes, which are complemented by a delightful fruity aroma. When used early in the brewing process, Tango ensures a stable hop note, characterized by its pleasantly hoppy, fresh undertones with hints of citrus and green fruits. However, when added late or used for cold hopping, Tango unveils an impressively fruity aroma spectrum, dominated by passion fruit notes. This fruity character can be further amplified when brewed with aroma-intensive top-fermenting yeasts or ale yeasts. Aroma/Flavor: Apple, Cassis, Citrus, Earthy, Grapefruit, Lemon, Passion Fruit, Pineapple, Resinous, Spicy"
Tardif de Bourgogne,France,Aroma,Pellet,4.2,4.2,15,Boil,"""Late Burgundy"" hops grown in small quantities in Alsace, France. A mild European style aroma. Very limited quantities commercially."
Target,United Kingdom,Bittering,Pellet,11,5,50,Boil,Used for: English ales and lagers Aroma: Robust aroma and flavor Substitutes: East Kent Goldings
Teamaker,US,Aroma,Pellet,1,9,15,Boil,"Developed by the USDA, Teamaker was released in the late 2000's. It is a unique high beta, very low alpha breed sued in medicine and food industries as well as brewing. It has very strong antibiotic properrties, and makes a tasty iced tea. It imparts almost no bittering content, but has floral aromas. Use as a late addition either whirlpool or dry hopping."
Tettnang,Germany,Aroma,Pellet,4.5,3.5,40,Boil,"Used for: German ales, lagers and wheat beer Aroma: Noble, mild, fine, slightly spicy Substitutes: Saaz, Spalt Examples: Sam Adams Octoberfest, Anderson Valley ESB"
Tettnang (Tettnang Tettnager),Germany,Aroma,Pellet,4,4,50,Boil,"One of the four noble hops along with Saaz, Spalt, and Hallertau Mittelfrueh, a group of mainland European hops that are prized for their similar, delicate flavor and aroma profile. Used for: German ales, lagers, wheat Aroma: Noble, Mild and pleasant with balanced earthy, herbal and floral aroma impressions Substitutes: Saaz, Spalt, Hallertau Mittelfrueh Storage: Poor 2.5-6% AA / 3-5% Beta"
"Tettnang, U.S.",U.S.,Aroma,Pellet,4.5,3.7,42.5,Boil,"Tettnang is a traditional German land-race variety known for its noble aroma that is pleasant and slightly spicy. It remains well established in the Tettnang growing region of Germany, and is also grown in Oregon and Washington. Americangrown Tettnang is reported to have slightly higher myrcene levels than its German counterpart. Used for: American style ale Substitutions: German Tettnang, Santiam, German Spalt, Spalt Select"
Tettnanger,U.S.,Both,Pellet,4,4,30,Boil,"An all-purpose hop known for its ability to provide spicy, floral aroma with great bitterness. Aroma: Spicy - floral, pepper, black tea, resinous, cucumber, grassy, currant Alpha Acid: 2.5 - 5.5% Beta Acid: 3.0 - 5.0% Total Oil: 0.4 - 0.9 ml/100g"
The Bruce,New Zealand,Bittering,Pellet,10,5,30,Boil,"The Bruce is an experimental blend put together by Freestyle Hops in New Zealand. The blend is made up of Nelson Sauvin™, early season Motueka™, late season Pacifica™, and mid season Pacific Jade™. The blend is named after Bruce Eggers, a farmer of hops in Sunrise Valley that has been helpful by sharing is hop knowledge. Flavor/Aroma: Gooseberry, Citrus Peel, Tropical Fruit, Orange Blossom"
Tillicum,U.S.,Bittering,Pellet,13.25,9.9,20,Boil,"High alpha and high beta hops developed though Haas breeding program and released in 1995. Daughter variety of Galena and related to Chelan - so similar to both. Substitutes: Galena, Chelan"
Tomahawk,U.S.,Bittering,Pellet,15.5,4.5,48,Boil,"Part of the Columbus/Tomahak/Zeus (CTZ) group of super high alpha hops. Together these make up 1/4 of US hop acreage. Used for: High alpha hops used primarily for commercial bittering. Substitutes: Tomahawk, Zeus, Nugget, Galena, Chinook"
Tomyski,Poland,Bittering,Pellet,3.3,1.9,30,Boil,"Enter the realm of legend with Tomyski, an aromatic hop that, for years, remained absent from the brewing scene. Thanks to the efforts of PolishHops, this variety has been resurrected and brought back to life. Tomyski, also known as Nowotomyski, is a hop with historical roots, named after the town of Nowy Tomyśl in western Poland where it was originally cultivated. This hop, once instrumental in brewing the iconic Grodziskie beer, is now ready to weave its aromatic tales once again. Flavor: Tomyski, a hop shrouded in legend, unfolds its aromatic prowess with a flavor profile deeply rooted in history. Used historically in brewing Grodziskie beer, it imparts a gentle touch of bitterness with a captivating aroma. With alpha acids ranging from 2.5% to 4%, Tomyski invites brewers to explore the nuances of its subtle bitterness and aromatic charm. Aroma: Experience the resurgence of Tomyski’s aroma – a symphony of myrcene, humulene, and caryophyllene. The subtle notes of lime and citrus, expressed through limonene, add a refreshing twist to this historical hop. Tomyski’s aroma is a bridge between brewing traditions and contemporary creativity."
Topaz,Australia,Bittering,Pellet,17,6.5,30,Boil,Very high alpha hop variety from Australia. Used for commercial production primarily for its high alpha acid content and high bitterness.
Tradition,Germany,Bittering,Pellet,6,4.5,10,Boil,"Close descendant of Hallertauer Mittelfrueh bred for high yield. Used for: Lager, Pilsner, Bock, some Weizens Aroma: Fine - similar to Hallertauer Mittelfrueh Substitutes: Hallertauer Mittelfrueh, Liberty, Ultra"
Traful,Argentina,Aroma,Pellet,5.1,3,30,Boil,"Traful hops are a testament to the ingenuity and dedication of the Argentinian brewing industry, particularly the efforts of the Quilmes Brewing and Malting Company. Developed through a breeding program that began in the 1980s, Traful hops are a product of a cross between the popular Cascade variety and Quilmes' proprietary lines. Officially registered in 1994, these hops were initially cultivated for their aromatic qualities. It wasn't until the last decade, however, that their unique flavor profile began to be embraced by craft brewers, particularly for Ale and Belgian-style beers. With a growing area that is slowly expanding, Traful hops have become a sought-after variety for those looking to impart a distinctive Argentinian touch to their brews. The flavor profile of Traful hops is intriguingly complex, marked by a spicy and vegetal character with subtle fruity undertones. Brewers have noted the presence of black pepper, fennel, anise, and green tea notes, with hints of grape and fig adding to the hop's layered aroma. Despite its low total oil content, Traful is rich in linalool, a compound that contributes to its potent aroma and flavor, especially when added late in the brewing process or during the whirlpool. This makes it an excellent choice for brewers looking to experiment with flavor without overwhelming their beer. They are particularly well-suited to Pale Ales, Pilsners, Lagers, and Belgian styles such as Dubbel and Tripel. Flavor/Aroma: Anise, Black Pepper, Fig, Fruity, Green Tea, Spicy, Vegetal"
Triple Pearl,U.S.,Aroma,Pellet,10.7,3.8,15,Boil,"Pleasant and balanced with notes of melon, orange citrus, resin, spice and pepper. Stoarge stability unknown. Released in 2013 by USDA-ARS. Used for: Pale Ale Substitutions: Perle"
Triskel,France,Aroma,Pellet,8.5,4.3,15,Boil,"Triskel was developed in France in 2006. It is a cross from Strisselspalt and Yoeman from England. It is often used in Belgian ales and featured as a late, whirlpool or dry hop. It has floral and citrus notes with a fruity finish. Comes from Alsace."
Triumph,U.S.,Both,Pellet,13,4,30,Boil,"Developed by John Hennings, a research geneticist at the USDA, Triumph is an aroma hop produced by crossing Nugget with USDA 21110M. With high yields and excellent brewing quality, this public variety was named for its triumph over other experimental hop varieties both in the field and in the glass – as well as Henning’s love of Triumph brand motorcycles. Aroma Profile: Bubblegum, Citrus, Herbal, Tropical"
Tropica,U.S.,Aroma,Pellet,8.8,4.3,30,Boil,"Grown from a Chinook by Mighty Axe Hops. Mighty Axe’s custom growing practices create Tropica’s distinct tropical character. Flavor/Aroma: Mandarin, Orange, Pineapple, Tropical Fruits"
Tsingtao Flower,China,Bittering,Pellet,7,3.6,25,Boil,"Accounts for about 65% of acreage in China, the Chinese version of American Cluster. Used for: Unknown (Lager?) Aroma: Floral and Spicy Substitutions: Unknown Storage: Good 6-8% AA / 3-4.2% Beta"
Ultra,U.S.,Aroma,Pellet,3,3.75,27.5,Boil,"Triploid seedling of the German Hallertauer Variety Used for: Lager, Pilsner, wheat, finishing hops in ales Aroma: Good to outstanding - some Saaz like qualities Substitutes: Liberty, Hallertauer, Tradition, Saaz"
Vanguard,U.S.,Aroma,Pellet,5.5,6,18,Boil,"Diploid seedling made in 1982, released in 1997. Hallertau Mitterfrueh parentage. Used for: European lagers, ales Aroma: Strong aromatic notes Substitutes: Hallertauer Mittelfrueh"
Vermelho,Poland,Both,Pellet,8.1,6,30,Boil,"Vermelho is a unique Polish new wave hop that has, intriguingly, been primarily available in Brazil. Now, these hops are making their way to Poland, exclusively accessible through homebrewing.pl, offering Polish brewers a taste of this distinctive variety. With a high alpha acid content, Vermelho hops are known for their robust bittering potential, which is a key attribute to craft beers with a solid hop backbone. The flavor profile of Vermelho is particularly notable for its intense fruity character, with a pronounced emphasis on red fruit notes. This makes it a great choice for brewers who want to infuse their beers with a rich, fruit-forward complexity. Aroma/Flavor: Aromatic, Berries, Fruity, Intense"
Veterans Blend,U.S.,Aroma,Pellet,1.5,2,30,Boil,"From Yakima Chief Hops. The 6th annual blend is comprised of four different Pacific Northwest-grown varieties including Citra®, HBC 638, Talus® and Sabro® brand hops. It will perform well in any hop forward beer, providing a well-balanced mix of tropical, citrus, and sweet aromatic aromas. The blend creates a hop pellet with a much wider range of flavor characteristics than could be provided by any one variety alone. Yakima Chief Hops is donating $3 per pound sold to Homes For Our Troops, a national nonprofit organization that builds and donates specially adapted custom homes nationwide for severely injured post-9/11 Veterans. hfotusa.org. 2023 - 6th Annual Veterans Blend - Citra®, HBC 638, Talus®, Sabro® 2022 - 5th Annual Veterans Blend - HBC 586, Ekuanot®, Idaho 7®, Chinook, Triumph 2021 - 4th Annual Veterans Blend - Azacca®, Ekuanot®, HBC 472, HBC 630, Idaho 7® 2020 - 3rd Annual Veterans Blend - HBC 630, Talus™, Idaho 7 ®, Mosaic®, Sabro® Aroma Profile: Citrus, Sweet Aromatic, Tropical"
Vic Secret,Australia,Aroma,Pellet,15.5,2.6,15,Boil,"The clean, distinct fruit and pine characters of Vic Secret are best accessed by dry hopping or whirlpool additions. Late kettle additions have been found to impart a pleasant earthy character, but little fruit. Maintains very high levels of alpha acid so brewers may find it easier to craft the right balance in their beer by dry hopping. First commercial harvest in 2013. Uses: Ales, Lagers, Experimental Ales Aroma: Clean, distinct fruit and pine Substitutions: Unknown Storage: Unknown 14-17% AA / 2.2-2.8% Beta"
Victoria,Australia,Bittering,Pellet,13,6.25,35,Boil,"Hi alpha hops grown in Victoria, Australia. It was created in 1976 and entered commercial production in the 1990s. Used for: Primarily for bittering due to high alpha content."
Viking,UK,Aroma,Pellet,9,4.5,30,Boil,Developed in 1968 at Wye College in England. A cross between Svalof and an English male plant. High alpha for a British hop - the aroma is described as pleasant and hoppy.
Vinnie Special,U.S.,Bittering,Pellet,12,4.8,30,Boil,"Originating from an undisclosed lineage, its aromatic characteristics are predominantly citrusy, with hints of stone fruit, tropical fruit, and herbal undertones. Beer enthusiasts who have had the pleasure of tasting beers brewed with this hop variety indicates a flavor profile that leans heavily towards sweet orange, albeit not as intense as some might prefer. The aroma, while delightful, isn't overpoweringly loud. The Vinnie Special presents an opportunity to experiment and diversify their brewing repertoire. Its smooth bitterness makes it an ideal candidate for early boil additions to enhance the bitterness of the beer. However, its subtle nature means it can be complemented with later additions of spicier or floral hops to achieve a more balanced and layered flavor profile. Given its strong citrus element, it's well-suited for styles like Saison, Witbier, and Belgian Pale Ale. Flavor/Aroma: Citrus, Fruity, Herbal, Mango, Orange, Pine, Stone Fruit, Tropical Fruits"
Vista,U.S.,Both,Pellet,11.5,4.5,30,Boil,"Looking for more info about using Vista hops? Previously named USDA Elite Line 074, Vista Hops can add a new flavor profile to pilsners and lagers as well as new elements to your IPA. They are the newest variety to be released by the USDA public breeding program. Vista emerged from the Elite Line because of brewers' feedback at the 2019 Hopsource that was put on by the Brewer's Association and hosted here at Yakima Valley Hops. Brewers who participated in the blind smell tests described Vista as having Stone Fruit, Citrus, Tropical Fruit, and Floral characteristics. It ranked highly on the hedonic score with most brewers ""Liking it Very Much"" or ""Liking it Moderately"". Vista also ranked 7/10 on the potency scale so it can excel in fruit-forward IPAs and Pale Ales, but brewers also said it would work well in lighter, more delicate styles like lagers and pilsners. Vista Aroma: Tropical Fruit, Tangerine, Melon, Pear, Green Tea Vista Typical Analytical Range Alpha: 11 - 12 % Beta: 4 - 5 % Total Oil: 1.0-2.0 mL/100g"
Vital,Czech Republic,Both,Pellet,15.5,9,15,Boil,A high alpha hop from the Zatac breeding program. High alpha and beta content provide a spicy aroma. Used in some single hop pale ales with success.
Vojvodina,Yugoslavia,Both,Pellet,8.1,3.4,24,Boil,"A cross between Northern Brewer and a Golding male. Mild, woody aroma with hints of tobacco and woody aroma. Some noble character but more rounded. Somewhat scarce availability."
Wai-iti,New Zealand,Aroma,Pellet,3,5,30,Boil,"Strong citrus character of lime zest with fresh peaches and apricot. Used in both ales and lagers. Good for late additions and dry hopping. Used for: Ale, Pale Ale, IPA. Substitutions: N/A"
Waimea,New Zealand,Both,Pellet,17.5,8,30,Boil,"A high alpha acid, dual purpose hop with lots of pine and citrus characters. Used for: IPA Substitutions: N/A"
Wakatu (Hallertau Aroma),New Zealand,Both,Pellet,7.5,8.5,25,Boil,"Formerly called Hallertau Aroma. Similar to German Hallertau but higher alpha. Excellent Dual Purpose hop, rounded floral aroma with hints of lime. Used for: Lager, Pils, Bock, Wheat, Kolsch, Helles, Belgian Ales. Aroma: Restrained floral notes and freshly zested lime Substitutions: US Hallertau, Liberty Storage: Good 6.5-8.5% AA / 8-9% Beta"
Warrior,U.S.,Both,Pellet,15,4.75,24,Boil,"High alpha hops from Yakima Chief Ranches. Also called YCR-5. Mild aroma and low cohumulone content - primarily for bittering. Used for: Ales, stouts Aroma: Neutral, clean, mild Substitutes: Nugget, Columbus, Magnum"
Whitbread Golding Variety (WGV),United Kingdom,Aroma,Pellet,6,2.5,35,Boil,"Derived in England in 1911 from Bates Brewer. Some Golding characteristics, but lacking the full Goldings aroma. Used for: Ales Aroma: Pleasant, hoppy, slightly intense Substitutes: East Kent Goldings, Progress"
Willamette,U.S.,Aroma,Pellet,5.5,3.5,40,Boil,"Used for: Finishing American and British Ales Aroma: Mild, grassy, floral, slightly spicy Substitutes: Fuggles, East Kent Goldings Examples: Sierra Nevada Porter, Ballard Bitter"
"Willamette, New Zealand",New Zealand,Aroma,Pellet,5,3.8,30,Boil,"Mild, pleasant, slight spicy floral tones. Used for: American and English Ales Substitutions: US Willamette, Fuggles"
Willow Creek,U.S.,Both,Pellet,6.9,3.8,30,Boil,"A collected wild neo, Mexicana species from Colorado. It displays better tolerance to cold and moisture than other neo. Mex. types. It has large cones with the typical high cohumulone levels of the species and strong citrus aromas. Compare to Amallia, Neo 1, and Multihead. Grows best at mid to lower latitudes. Early to mid-season maturity. Water and fertilizer should be metered over time in smaller quantities than most commercial hops. Noted Aromas: Mild with pleasant notes of Pineapple"
Wye Challenger,New Zealand,Both,Pellet,8.9,5.8,30,Boil,"Spicy, clean, citrus aroma with distinct herbal notes. Used for: English Ales, English IPA, Red Ale, Bitter, Stout, Porter Substitutions: N/A"
Yakima Cluster,U.S.,Bittering,Pellet,7,4.8,30,Boil,"The Yakima Cluster hop, with its rich lineage, has its roots in the United States. It is the offspring of the Late Cluster hop and the grandchild of the Pacific Coast Cluster. This hop variety first made its appearance in the US in 1950's. Interestingly, while it doesn't seem to flourish in the growing regions of Idaho or Oregon, it thrives in the drier climate of the Yakima Valley. Primarily used as a bittering hop, Yakima Cluster is not typically employed for imparting significant flavor or aroma to beers. However, when it does contribute to the flavor profile, it brings a moderate bittering quality combined with some earthy flavors. The aroma is flowery, with hints of sweet fruit. It's worth noting that all Cluster hops, including Yakima Cluster, are interchangeable in brewing, maintaining consistent quality. Flavor/Aroma: Citrus, Earthy, Floral, Fruity, Noble, Pepper, Spicy, Sweet, Woody"
Yakima Gold,US,Both,Pellet,9.3,4.8,15,Boil,"A Washington State developed hop released in 2013. It has mild bittering and aroma properties and is a good dual-use hop. It decends from Early Cluster and a wild Slovenian male, so it has some Saaz like properties. Aromas include smooth hop flavor with a hint of lemon zest and grapefruit. Substitute: Saaz, Cluster, Cascade"
Yellow Sub,Germany,Both,Pellet,7.2,2,30,Boil,"Yellow Sub is a relatively new hop blend released by BarthHaas Hop Creation. Yellow Sub is known for its distinct aroma and flavor profile, which is described as having a spicy, fruity, and citrusy character. The hop is often used in pale ales, IPAs, and other hop-forward beers. Yellow Sub hops have a relatively low alpha acid content, which means they are not particularly bitter. However, their high essential oil content makes them ideal for imparting flavor and aroma to beer. Brewers who use Yellow Sub often note its unique combination of spice and fruit flavors, with hints of lemon, lime, and orange. Overall, Yellow Sub is a versatile hop that can be used in a variety of beer styles, but is particularly well-suited for hop-forward beers where its aroma and flavor can shine. Flavor/Aroma: Apricot, Blackberry, Fruity, Orange, Sweet"
Zagrava,Ukraine,Both,Pellet,5.4,2,30,Boil,"Zagrava hops, originating from Ukraine, represent a relatively new addition to the world of brewing, bringing with them a unique flavor profile that is both traditional and novel. The hop is known for its high essential oil content, which includes a significant amount of farnesene. This contributes to its aromatic properties, setting it apart from other varieties like Tradition and making it a closer relative to Spalter Select in terms of its sensory profile. The flavor and aroma profile of Zagrava is described as spicy-floral, with a strong herbal backbone complemented by fruit notes. This makes it an excellent choice for brewers looking to create beers with a rich bouquet and a nuanced taste. Its characteristics are well-suited for lagers, where the subtle interplay of flavors can shine through. The hop's origin in Ukraine, a region with a significant history of hop production, adds a layer of depth to its story and appeal. Ukrainian hops, such as Zagrava, are protected by national rights and have been registered at the EU Community Plant Variety Office (CPVO), ensuring their unique qualities are preserved and recognized. Aroma/Flavor: Citrus, Earthy, Floral, Fresh, Fruity, Herbal, Pine, Woody, Sweet"
